Feature	Type	Valeurs Possibles
Age	Numérique	10-80 ans
Weight	Numérique	40-150 kg
BMI	Numérique	~15-35 (calculé)
Tension_Moyenne	Numérique	80-180 mmHg
Cholesterole_Moyen	Numérique	100-300 mg/dL
Gender	Catégoriel	'Male', 'Female'
Blood Pressure	Catégoriel	'Low', 'Normal', 'High'
Cholesterol Level	Catégoriel	'Low', 'Normal', 'High'
Outcome Variable	Catégoriel	'Negative', 'Positive'
Smoking	Catégoriel	'No', 'Yes'
Alcohol	Catégoriel	'None', 'Moderate', 'Heavy'
Sedentarite	Catégoriel	'Low', 'Moderate', 'High'
Family_History	Catégoriel	'No', 'Yes'
Symptômes	Binaire	131 symptômes (0 ou 1 chacun)
